beijingdx	北京电信
tianjindx	天津电信
hebeidx	河北电信
sanxidx	山西电信
neimenggudx	内蒙古电信
liaoningdx	辽宁电信
jilindx	吉林电信
heilongjiangdx	黑龙江电信
shanghaidx	上海电信
jiangsudx	江苏电信
zhejiangdx	浙江电信
anhuidx	安徽电信
fujiandx	福建电信
jiangxidx	江西电信
shandongdx	山东电信
henandx	河南电信
hubeidx	湖北电信
hunandx	湖南电信
guangdongdx	广东电信
guangxidx	广西电信
hainandx	海南电信
chongqingdx	重庆电信
sichuandx	四川电信
guizhoudx	贵州电信
yunnandx	云南电信
xizangdx	西藏电信
shanxidx	陕西电信
gansudx	甘肃电信
qinghaidx	青海电信
ningxiadx	宁夏电信
xinjiangdx	新疆电信
no30	波多黎各
beijinglt	北京联通
tianjinlt	天津联通
hebeilt	河北联通
sanxilt	山西联通
neimenggult	内蒙古联通
liaoninglt	辽宁联通
jilinlt	吉林联通
heilongjianglt	黑龙江联通
shanghailt	上海联通
jiangsult	江苏联通
zhejianglt	浙江联通
anhuilt	安徽联通
fujianlt	福建联通
jiangxilt	江西联通
shandonglt	山东联通
hebeilt	河南联通
hubeilt	湖北联通
hunanlt	湖南联通
guangdonglt	广东联通
guangxilt	广西联通
hainanlt	海南联通
chongqinglt	重庆联通
sichuanlt	四川联通
guizhoult	贵州联通
yunnanlt	云南联通
xizanglt	西藏联通
shanxilt	陕西联通
gansult	甘肃联通
qinghailt	青海联通
ningxialt	宁夏联通
xinjianglt	新疆联通
beijingyd	北京移动
tianjinyd	天津移动
heibeiyd	河北移动
sanxiyd	山西移动
neimengguyd	内蒙古移动
liaoningyd	辽宁移动
jilinyd	吉林移动
heilongjiangyd	黑龙江移动
shanghaiyd	上海移动
jiangsuyd	江苏移动
zhejiangyd	浙江移动
anhuiyd	安徽移动
fujianyd	福建移动
jiangxiyd	江西移动
shandongyd	山东移动
henanyd	河南移动
hubeiyd	湖北移动
hunanyd	湖南移动
guangdongyd	广东移动
guangxiyd	广西移动
hainanyd	海南移动
chongqingyd	重庆移动
sichuanyd	四川移动
guizhouyd	贵州移动
yunnanyd	云南移动
xizangyd	西藏移动
shanxiyd	陕西移动
gansuyd	甘肃移动
qinghaiyd	青海移动
ningxiayd	宁夏移动
xinjiangyd	新疆移动
hbdx	华北电信
dbdx	东北电信
hddx	华东电信
hzdx	华中电信
hndx	华南电信
xndx	西南电信
xbdx	西北电信
hblt	华北联通
hblt	东北联通
hdlt	华东联通
hzlt	华中联通
hnlt	华南联通
xnlt	西南联通
xblt	西北联通
hbyd	华北移动
dbyd	东北移动
hdyd	华东移动
hzyd	华中移动
hnyd	华南移动
xnyd	西南移动
xbyd	西北移动
dx	电信
lt	联通
yd	移动
tietong	铁通
jiaoyuwang	教育网
pengboshi	鹏博士
changchengkuandai	长城宽带
baidu	百度
qihu	奇虎
sougou	搜狗
sousou	搜搜
guge	谷歌
weiruan	微软
yahu	雅虎
ssyq	搜索引擎
xianggang	香港
aomen	澳门
taiwan	台湾
gat	港澳台
as1	蒙古
as2	朝鲜
as3	韩国
as4	日本
as5	菲律宾
as6	越南
as7	老挝
as8	柬埔寨
as9	缅甸
as10	泰国
as11	马来西亚
as12	文莱
as13	新加坡
as14	印度尼西亚
as15	东帝汶
as16	尼泊尔
as17	不丹
as18	孟加拉
as19	印度
as20	巴基斯坦
as21	斯里兰卡
as22	马尔代夫
as23	哈萨克斯坦
as24	吉尔吉斯斯坦
as25	塔吉克斯坦
as26	乌兹别克斯坦
as27	土库曼斯坦
as28	阿富汗
as29	伊拉克
as30	伊朗
as31	叙利亚
as32	约旦
as33	黎巴嫩
as34	以色列
as35	巴勒斯坦
as36	沙特阿拉伯
as37	巴林
as38	卡塔尔
as39	科威特
as40 	阿联酋
as41	阿曼
as42	也门
as43	格鲁吉亚
as44	亚美尼亚
as45	阿塞拜疆
as46	土耳其
as47	塞浦路斯
Asia	亚洲
eu1	塞尔维亚
eu2	黑山
eu3	克罗地亚
eu4	波斯尼亚和黑塞哥维那
eu5	马其顿
eu6	罗马尼亚
eu7	保加利亚
eu8	阿尔巴尼亚
eu9	 希腊
eu10	 意大利
eu11	梵蒂冈
eu12	圣马力诺
eu13	马耳他
eu14	西班牙
eu15	葡萄牙
eu16	安道尔
eu17	德国
eu18	英国
eu19	爱尔兰
eu20	荷兰
eu21	比利时
eu22	卢森堡
eu23	法国
eu24	摩纳哥
eu25	波兰
eu26	捷克
eu27	斯洛伐克
eu28	匈牙利
eu29	斯洛伐克
eu30	匈牙利
eu31	瓦利斯和富图纳群岛
eu32	奥地利
eu33	瑞士
eu34	列支敦士登
eu35	冰岛
eu36	法罗群岛
eu37	丹麦
eu38	挪威
eu39	瑞典
eu40	芬兰
eu41	爱沙尼亚
eu42	拉脱维亚
eu43	立陶宛
eu44	白俄罗斯
eu45	乌克兰
eu46	摩尔多瓦
eu47	俄罗斯
eu48	斯洛文尼亚
eu49	欧盟
Europe	欧洲
af1	吉布提
af2	尼日尔
af3	赞比亚
af4	尼日利亚
af5	阿尔及利亚
af6	毛里塔尼亚
af7	埃及
af8	加蓬
af9	几内亚
af10	冈比亚
af11	博茨瓦纳
af12	塞内加尔
af13	埃塞俄比亚
af14	中非
af15	加纳
af16	安哥拉
af17	肯尼亚
af18	卢旺达
af19	科特迪瓦
af20	塞拉利昂
af21	厄立特里亚
af22	马达加斯加
af23	马里
af24	布隆迪
af25	利比亚
af26	索马里
af27	津巴布韦
af28	斯威士兰
af29	几内亚比绍
af30	刚果(布)
af31	苏丹
af32	喀麦隆
af33	莱索托
af34	塞舌尔
af35	莫桑比克
af36	坦桑尼亚
af37	几内亚
af38	刚果(金)
af39	乍得
af40	科摩罗
af41	摩洛哥
af42	突尼斯
af43	毛里求斯
af44	利比里亚
af45	布基纳法索
af46	圣多美
af47	普林西比
af48	多哥
af49	佛得角
af50	马拉维
af51	乌干达
af52	纳米比亚
af53	贝宁
af54	南非
Africa	非洲
no1	墨西哥
no2	古巴
no3	巴哈马
no4	巴拿马
no5	尼加拉瓜
no6	巴巴多斯
no7	牙买加
no8	海地
no9	伯利兹
no10	哥斯达黎加
no11	萨尔瓦多
no12	格林纳达
no13	危地马拉
no14	洪都拉斯
no15	圣卢西亚
no16	尼加拉瓜
no17	多米尼加
no18	多米尼克
no19	圣文森特
no20	格林纳丁斯
no21	特立尼达
no22	多巴哥
no23	安提瓜
no24	巴布达
no25	圣基茨
no26	尼维斯
no27	波多黎
no28	美国
no29	加拿大
NorthAmerica	北美洲
so1	委内瑞拉
so2	圭亚那
so3	苏里南
so4	阿根廷
so5	厄瓜多尔
so6	秘鲁
so7	玻利维亚
so8	智利
so9	巴拉圭
so10	乌拉圭
so11	哥伦比亚
so12	巴西
SouthAmerica	南美洲
oc1	图瓦卢
oc2	澳大利亚
oc3	马绍尔群岛
oc4	斐济
oc5	基里巴斯
oc6	库克群岛
oc7	巴布亚新几内亚
oc8	汤加
oc9	新西兰
oc10	所罗门群岛
oc11	密克罗尼西亚
oc12	纽埃
oc13	阿瓦图
oc14	萨摩亚
oc15	帕劳
oc16	瑙鲁
Antartica	南极洲
oc17	美属萨摩亚
Oceania	大洋洲
no31	圣基茨和尼维斯
no32	圣文森特和格林纳丁斯
no33	特立尼达和多巴哥
no34	安提瓜和巴布达
af55	赤道几内亚
af56	马约特岛
af57	南苏丹
af58	圣多美和普林西比
zgwz	中国未知
gwwz	海外未知

